,status,primary_color,secondary_color,name,full_color
252,shelter_or_rescue,Grey Tabby,,Sasha,Grey Tabby 
253,shelter_or_rescue,Black,,Ethel,Black 
254,shelter_or_rescue,Brown Tabby,,Johanna,Brown Tabby 
255,shelter_or_rescue,Grey Tabby,,Rio,Grey Tabby 
256,shelter_or_rescue,Black,White,Max,Black White
257,shelter_or_rescue,Grey Tabby,,Dora,Grey Tabby 
258,shelter_or_rescue,Calico,,Socks,Calico 
259,shelter_or_rescue,Black,,Blacky,Black 
260,shelter_or_rescue,Grey Tabby,,Cutie,Grey Tabby 
261,shelter_or_rescue,Black,,Bott,Black 
262,shelter_or_rescue,Grey Tabby,,Grub,Grey Tabby 
263,shelter_or_rescue,Grey Tabby,,Samantha,Grey Tabby 
264,shelter_or_rescue,Black,,Smokie,Black 
265,shelter_or_rescue,Grey Tabby,,Dexter,Grey Tabby 
266,shelter_or_rescue,Grey Tabby,,Creamy,Grey Tabby 
267,shelter_or_rescue,Brown Tabby,,Mabel,Brown Tabby 
268,shelter_or_rescue,Grey Tabby,,Beau,Grey Tabby 
269,shelter_or_rescue,Grey Tabby,,Crew,Grey Tabby 
270,shelter_or_rescue,Orange Tabby,,Nugget,Orange Tabby 
271,shelter_or_rescue,Calico,,Gabrielle,Calico 
272,shelter_or_rescue,Calico,,Bree,Calico 
273,shelter_or_rescue,Black,White,Misty,Black White
274,shelter_or_rescue,Calico,,Tinker Bell ,Calico 
275,shelter_or_rescue,Orange Tabby,,Jimmy,Orange Tabby 
276,shelter_or_rescue,Orange Tabby,,Victor,Orange Tabby 
277,shelter_or_rescue,Orange Tabby,,Valen,Orange Tabby 
278,shelter_or_rescue,Grey,,Victoria,Grey 
279,shelter_or_rescue,Black,,Vance,Black 
280,shelter_or_rescue,Orange Tabby,,Rex,Orange Tabby 
281,shelter_or_rescue,Grey,,Lotso,Grey 
282,shelter_or_rescue,Muted Calico,,Layla,Muted Calico 
283,shelter_or_rescue,Blue,,Nancy,Blue 
284,shelter_or_rescue,Blue,,Joyce,Blue 
285,shelter_or_rescue,Blue,,Dustin,Blue 
286,shelter_or_rescue,Blue,,Steve,Blue 
