,family,name,acquired_from,age,color,weight,socialness,intelligence,activity_level,vocalization
67,31,"Bendy aka Bendy-Boo, BendyKitty",friend_or_relative,Adult ,Solid gray,15,3,4,2,2
68,32,Kermit,shelter_or_rescue,Adult ,Gray tabby/gray tabby with white,20,5,5,1,6
69,33,Rowdy,friend_or_relative,Adult ,Solid gray,12,7,8,8,3
70,32,Pumpkin,shelter_or_rescue,Adult ,Orange tabby/orange tabby with white,9,9,1,10,8
71,34,Ginger,friend_or_relative,Super Senior ,Brown tabby/brown tabby with white,12,1,9,3,10
72,33,Nugget,stray,Junior ,Brown tabby/brown tabby with white,11,3,4,6,2
73,35,Penny,shelter_or_rescue,Adult ,Tortoiseshell,9,10,10,8,10
74,33,Earl,stray,Junior ,Brown tabby/brown tabby with white,17,10,3,6,4
75,35,Kia,stray,Adult ,Solid black,17,4,9,7,3
76,36,Milo,shelter_or_rescue,Kitten ,Orange tabby/orange tabby with white,3,8,8,8,4
77,35,Salem,shelter_or_rescue,Junior ,Solid black,15,10,10,10,7
78,37,Andy Roo,friend_or_relative,Adult ,White with orange spots,15,9,3,10,9
79,38,Lint,shelter_or_rescue,Junior ,Solid black,8,10,7,6,5
80,39,Bea,stray,Adult ,Brown tabby/brown tabby with white,8,7,8,8,5
81,40,Butter,shelter_or_rescue,Kitten ,Orange tabby/orange tabby with white,16,9,9,4,6
82,41,Diego,cat_cafe,Adult ,Gray tabby/gray tabby with white,15,8,8,9,7
83,42,Cappy,shelter_or_rescue,Adult ,Gray tabby/gray tabby with white,15,9,8,2,8
84,43,Willow,friend_or_relative,Junior ,Tortoiseshell,13,3,6,6,5
85,44,Ashley,gift,Super Senior ,Tabby-tortie or torbie,15,1,6,1,6
86,43,Orrick,shelter_or_rescue,Junior ,Solid black,12,7,6,9,8
87,43,Cedar,shelter_or_rescue,Junior ,Orange tabby/orange tabby with white,15,7,6,1,6
88,45,Tulio,shelter_or_rescue,Adult ,Gray tabby/gray tabby with white,7,3,6,3,1
89,46,Gracie,shelter_or_rescue,Kitten ,Gray tabby/gray tabby with white,6,10,7,4,10
90,47,Layla,shelter_or_rescue,Adult ,Calico,7,1,7,8,2
91,48,Ella,shelter_or_rescue,Super Senior ,Tortoiseshell,12,10,8,1,5
92,49,Venom,stray,Senior ,Solid black,5,10,9,5,9
93,49,Minerva,friend_or_relative,Junior ,Calico,11,8,1,8,8
94,50,Byther,stray,Adult ,Gray tuxedo gray and white,,10,8,5,6
95,51,Ratmask,shelter_or_rescue,Senior ,Seal point,9,4,5,8,10
96,52,Ginny,stray,Senior ,Orange tabby/orange tabby with white,7,5,8,5,7
97,53,Sheldon,friend_or_relative,Senior ,Gray tabby/gray tabby with white,9,5,4,3,8
98,54,Joey,stray,Mature ,"Red flame, orange tips on ears, orange strips on tail",15,9,9,9,6
99,55,Chloe,stray,Mature ,"Grays, orange, white, no cat color fits her",25,2,1,1,2
100,56,Leo,friend_or_relative,Adult ,"Black with brown/gray stripe marking, brown belly",12,7,8,4,5
101,53,Sassy,stray,Mature ,Brown tabby/brown tabby with white,13,2,1,1,10
102,54,Harley,stray,Mature ,Gray tabby/gray tabby with white,10,2,5,9,6
103,57,Fattie,shelter_or_rescue,Adult ,Orange tabby/orange tabby with white,18,5,7,1,6
104,58,Pumpkin ,pet_store,Senior ,Calico,,6,2,1,9
105,57,Molly,shelter_or_rescue,Adult ,Calico,8,3,4,4,3
106,53,Loki,pet_store,Mature ,Orange tabby/orange tabby with white,14,10,10,8,6
107,58,Spooky ,pet_store,Senior ,Calico,,3,9,3,2
108,59,Betty,shelter_or_rescue,Senior ,Black with white spots ,12,10,10,8,10
109,56,Dunkin,friend_or_relative,Adult ,"Belly, legs and bottom half of his body is white. His back and some of the sides of his body are black.",12,3,8,3,2
110,53,Cali/Reese,stray,Mature ,Tortoiseshell,7,4,5,6,1
111,60,Brody,stray,Senior ,Gray tabby/gray tabby with white,8,10,8,6,9
112,60,Isabel,stray,Super Senior ,Gray tabby/gray tabby with white,8,4,6,2,10
113,61,Kraken,friend_or_relative,Adult ,Solid black,10,9,8,7,6
114,62,"Whiskey, tequila and Bourbon ",shelter_or_rescue,Junior ,Solid black,8,10,8,5,7
115,63,LUNA,shelter_or_rescue,Adult ,Gray tuxedo gray and white,,4,9,3,10
116,64,Gracie,breeder,Adult ,Seal point,8,6,10,9,10
117,65,Amber,shelter_or_rescue,Super Senior ,Tortoiseshell,6,10,6,9,10
118,66,Ms Kitty,friend_or_relative,Adult ,Gray tabby/gray tabby with white,20,5,8,5,9
119,64,Prudy ,friend_or_relative,Senior ,Classic tuxedo black and white,13,1,5,2,4
120,67,MOOCHIE,stray,Senior ,Solid black,12,10,10,7,9
121,68,Eddy,shelter_or_rescue,Adult ,Classic tuxedo black and white,12,5,4,8,2
122,68,Elly,shelter_or_rescue,Adult ,Classic tuxedo black and white,8,3,5,8,4
123,69,Jojo,shelter_or_rescue,Senior ,Mostly white with black spots,9,2,5,4,1
124,69,Demon,stray,Adult ,Solid black,10,8,8,10,6
125,70,Meeko,shelter_or_rescue,Adult ,Classic tuxedo black and white,14,8,8,3,7
126,70,Roux,shelter_or_rescue,Adult ,Brown/orange/white Torby,11,3,5,7,3
127,71,Blackie,friend_or_relative,Senior ,Solid black,16,9,9,8,10
128,72,Ringo,friend_or_relative,Kitten ,Gray tuxedo gray and white,,3,5,5,5
129,73,Kit,stray,Senior ,Seal point,12,10,7,2,1
130,73,Kat,stray,Senior ,Seal point,18,8,1,1,5
131,73,Truly,stray,Senior ,Solid black,12,2,5,3,10
132,73,Kole,shelter_or_rescue,Mature ,Solid gray,12,10,1,5,5
133,73,Kenzie,shelter_or_rescue,Adult ,Tortoiseshell,15,1,1,1,1
134,74,Lowell,shelter_or_rescue,Adult ,Gray tabby/gray tabby with white,9,7,10,5,9
135,74,Lucy,shelter_or_rescue,Adult ,Solid gray,6,2,4,4,4
